Feature,Spearman_r,P_adj_FDR,Significant_FDR05,Mean_SHAP,L1_coef,Stability_Freq,Direction
TC,0.4354801236561277,1.5523706505555329e-46,True,3.1638412,2.0275608476405838,1.0,Positive
TG,0.48871708124211627,7.381071905730844e-60,True,3.1485841,2.735043498132922,1.0,Positive
UricAcid,0.20425767066649722,4.687983951856785e-10,True,0.50252587,0.39712377510253694,0.32,Positive
HDL_C,-0.1656018251797994,5.557610564678469e-07,True,0.21772267,-0.4545732035924042,0.37,Negative
LDL_C,0.18389894288278957,2.3402240524107036e-08,True,0.13600999,0.38834147877722114,0.12,Positive
FastingGlucose,-0.04000144850807446,0.6183540900485568,False,0.077502854,0.0,0.29,Negative
ADL_Eating,-0.00205638788920684,0.9927512736420332,False,0.060507305,0.0,0.22,Negative
IADL_Medication,0.032502398272983284,0.732266720216738,False,0.053529173,0.0,0.93,Positive
BMI,0.026488080713721378,0.732266720216738,False,0.044199593,0.0,0.23,Positive
ADL_Dressing,0.026855488659655494,0.732266720216738,False,0.04065309,0.0,0.66,Positive
ADL_Total,0.02754851445273528,0.732266720216738,False,0.031451546,0.0,0.74,Positive
Activity_Total,0.020366768289211162,0.8666995857650969,False,0.020320542,0.0,0.87,Positive
IADL_Shopping,-0.013850589078741813,0.9927512736420332,False,0.016749933,0.0,0.13,Negative
IADL_Transport,-0.0015239858461408864,0.9927512736420332,False,0.012464862,0.0,0.73,Negative
IADL_Cooking,-0.007736552603909747,0.9927512736420332,False,0.009538026,0.0,0.07,Negative
ADL_Walking,0.000287654471670027,0.9927512736420332,False,0.006162526,0.0,0.12,Positive
ADL_Bathing,0.03912266475510882,0.6183540900485568,False,0.0,0.0,0.72,Positive
ADL_Toilet,-0.005353549961286511,0.9927512736420332,False,0.0,0.0,0.02,Negative
IADL_Finance,-0.006933892110742134,0.9927512736420332,False,0.0,0.0,0.76,Negative
IADL_Total,0.010863796107429402,0.9927512736420332,False,0.0,0.0,0.7,Positive
